Adj Price,Date,Day-1996
0.41,1986.517,0.517
0.4,1986.52,0.52
0.37,1986.523,0.523
0.37,1986.531,0.531
0.36,1986.534,0.534
0.35,1986.537,0.537
0.36,1986.539,0.539
0.33,1986.542,0.542
0.33,1986.55,0.55
0.35,1986.553,0.553
0.34,1986.556,0.556
0.35,1986.559,0.559
0.38,1986.561,0.561
0.36,1986.569,0.569
0.36,1986.572,0.572
0.37,1986.575,0.575
0.35,1986.578,0.578
0.35,1986.58,0.58
0.34,1986.589,0.589
0.32,1986.591,0.591
0.33,1986.594,0.594
0.33,1986.597,0.597
0.36,1986.6,0.6
0.37,1986.608,0.608
0.39,1986.611,0.611
0.38,1986.613,0.613
0.38,1986.616,0.616
0.38,1986.619,0.619
0.38,1986.627,0.627
0.39,1986.63,0.63
0.41,1986.632,0.632
0.41,1986.635,0.635
0.43,1986.638,0.638
0.42,1986.646,0.646
0.43,1986.649,0.649
0.43,1986.652,0.652
0.43,1986.654,0.654
0.44,1986.657,0.657
0.42,1986.668,0.668
0.42,1986.671,0.671
0.44,1986.674,0.674
0.43,1986.676,0.676
0.43,1986.684,0.684
0.42,1986.687,0.687
0.42,1986.69,0.69
0.39,1986.693,0.693
0.38,1986.695,0.695
0.37,1986.704,0.704
0.38,1986.706,0.706
0.39,1986.709,0.709
0.41,1986.712,0.712
0.39,1986.715,0.715
0.4,1986.723,0.723
0.39,1986.726,0.726
0.38,1986.728,0.728
0.37,1986.731,0.731
0.37,1986.734,0.734
0.37,1986.742,0.742
0.37,1986.745,0.745
0.38,1986.747,0.747
0.36,1986.75,0.75
0.38,1986.753,0.753
0.38,1986.761,0.761
0.36,1986.764,0.764
0.35,1986.767,0.767
0.36,1986.769,0.769
0.37,1986.772,0.772
0.38,1986.78,0.78
0.38,1986.783,0.783
0.37,1986.786,0.786
0.37,1986.789,0.789
0.37,1986.791,0.791
0.36,1986.799,0.799
0.36,1986.802,0.802
0.37,1986.805,0.805
0.39,1986.808,0.808
0.4,1986.81,0.81
0.4,1986.819,0.819
0.38,1986.821,0.821
0.39,1986.824,0.824
0.39,1986.827,0.827
0.39,1986.83,0.83
0.39,1986.838,0.838
0.41,1986.841,0.841
0.41,1986.843,0.843
0.41,1986.846,0.846
0.41,1986.849,0.849
0.4,1986.857,0.857
0.4,1986.86,0.86
0.39,1986.862,0.862
0.38,1986.865,0.865
0.39,1986.868,0.868
0.39,1986.876,0.876
0.38,1986.879,0.879
0.38,1986.882,0.882
0.39,1986.884,0.884
0.4,1986.887,0.887
0.41,1986.895,0.895
0.43,1986.898,0.898
0.43,1986.901,0.901
0.44,1986.906,0.906
0.45,1986.914,0.914
0.44,1986.917,0.917
0.44,1986.92,0.92
0.43,1986.923,0.923
0.42,1986.925,0.925
0.43,1986.934,0.934
0.42,1986.936,0.936
0.43,1986.939,0.939
0.43,1986.942,0.942
0.43,1986.945,0.945
0.43,1986.953,0.953
0.44,1986.956,0.956
0.44,1986.958,0.958
0.44,1986.961,0.961
0.44,1986.964,0.964
0.44,1986.972,0.972
0.42,1986.975,0.975
0.41,1986.977,0.977
0.42,1986.983,0.983
0.41,1986.991,0.991
0.41,1986.994,0.994
0.4,1986.997,0.997
0.41,1987.002,1.002
0.41,1987.01,1.01
0.42,1987.013,1.013
0.44,1987.016,1.016
0.46,1987.018,1.018
0.47,1987.021,1.021
0.49,1987.029,1.029
0.49,1987.032,1.032
0.53,1987.035,1.035
0.55,1987.038,1.038
0.53,1987.04,1.04
0.56,1987.049,1.049
0.54,1987.051,1.051
0.53,1987.054,1.054
0.56,1987.057,1.057
0.56,1987.06,1.06
0.55,1987.068,1.068
0.56,1987.07,1.07
0.57,1987.073,1.073
0.55,1987.076,1.076
0.6,1987.079,1.079
0.67,1987.087,1.087
0.67,1987.09,1.09
0.66,1987.092,1.092
0.67,1987.095,1.095
0.67,1987.098,1.098
0.67,1987.106,1.106
0.67,1987.109,1.109
0.73,1987.112,1.112
0.69,1987.114,1.114
0.69,1987.117,1.117
0.71,1987.128,1.128
0.71,1987.131,1.131
0.71,1987.133,1.133
0.67,1987.136,1.136
0.67,1987.144,1.144
0.69,1987.147,1.147
0.72,1987.15,1.15
0.73,1987.153,1.153
0.73,1987.155,1.155
0.71,1987.164,1.164
0.68,1987.166,1.166
0.7,1987.169,1.169
0.7,1987.172,1.172
0.69,1987.175,1.175
0.68,1987.183,1.183
0.69,1987.185,1.185
0.68,1987.188,1.188
0.68,1987.191,1.191
0.67,1987.194,1.194
0.68,1987.202,1.202
0.73,1987.205,1.205
0.73,1987.207,1.207
0.77,1987.21,1.21
0.76,1987.213,1.213
0.75,1987.221,1.221
0.73,1987.224,1.224
0.73,1987.227,1.227
0.76,1987.229,1.229
0.78,1987.232,1.232
0.74,1987.24,1.24
0.75,1987.243,1.243
0.78,1987.246,1.246
0.78,1987.248,1.248
0.83,1987.251,1.251
0.81,1987.259,1.259
0.8,1987.262,1.262
0.84,1987.265,1.265
0.84,1987.268,1.268
0.86,1987.27,1.27
0.8,1987.279,1.279
0.78,1987.281,1.281
0.79,1987.284,1.284
0.82,1987.287,1.287
0.8,1987.298,1.298
0.84,1987.3,1.3
0.83,1987.303,1.303
0.86,1987.306,1.306
0.85,1987.309,1.309
0.87,1987.317,1.317
0.89,1987.32,1.32
0.89,1987.322,1.322
0.9,1987.325,1.325
0.89,1987.328,1.328
0.89,1987.336,1.336
0.9,1987.339,1.339
0.89,1987.342,1.342
0.87,1987.344,1.344
0.87,1987.347,1.347
0.86,1987.355,1.355
0.84,1987.358,1.358
0.86,1987.361,1.361
0.86,1987.363,1.363
0.85,1987.366,1.366
0.84,1987.374,1.374
0.78,1987.377,1.377
0.8,1987.38,1.38
0.8,1987.383,1.383
0.76,1987.385,1.385
0.81,1987.396,1.396
0.81,1987.399,1.399
0.83,1987.402,1.402
0.84,1987.405,1.405
0.81,1987.413,1.413
0.76,1987.415,1.415
0.78,1987.418,1.418
0.78,1987.421,1.421
0.77,1987.424,1.424
0.79,1987.432,1.432
0.83,1987.435,1.435
0.81,1987.437,1.437
0.82,1987.44,1.44
0.81,1987.443,1.443
0.79,1987.451,1.451
0.78,1987.454,1.454
0.81,1987.457,1.457
0.81,1987.459,1.459
0.79,1987.462,1.462
0.81,1987.47,1.47
0.83,1987.473,1.473
0.82,1987.476,1.476
0.8,1987.478,1.478
0.85,1987.481,1.481
0.85,1987.489,1.489
0.84,1987.492,1.492
0.87,1987.495,1.495
0.89,1987.498,1.498
0.86,1987.509,1.509
0.85,1987.511,1.511
0.84,1987.514,1.514
0.87,1987.517,1.517
0.88,1987.52,1.52
0.89,1987.528,1.528
0.94,1987.53,1.53
0.92,1987.533,1.533
0.94,1987.536,1.536
0.94,1987.539,1.539
0.91,1987.547,1.547
0.9,1987.55,1.55
0.89,1987.552,1.552
0.88,1987.555,1.555
0.88,1987.558,1.558
0.88,1987.566,1.566
0.9,1987.569,1.569
0.9,1987.572,1.572
0.92,1987.574,1.574
0.91,1987.577,1.577
0.88,1987.585,1.585
0.88,1987.588,1.588
0.9,1987.591,1.591
0.92,1987.593,1.593
0.94,1987.596,1.596
0.96,1987.604,1.604
0.98,1987.607,1.607
0.96,1987.61,1.61
0.98,1987.613,1.613
0.98,1987.615,1.615
0.97,1987.624,1.624
0.97,1987.626,1.626
0.96,1987.629,1.629
0.98,1987.632,1.632
1,1987.634,1.634
1,1987.643,1.643
1.02,1987.645,1.645
1.05,1987.648,1.648
1.06,1987.651,1.651
1.01,1987.654,1.654
1.01,1987.662,1.662
1,1987.665,1.665
1,1987.667,1.667
1.01,1987.67,1.67
1.03,1987.673,1.673
1.01,1987.684,1.684
1.02,1987.687,1.687
1.04,1987.689,1.689
1.04,1987.692,1.692
1.04,1987.7,1.7
1.03,1987.703,1.703
1.03,1987.706,1.706
